year,country,community
2024,Afghanistan,0
2024,Iran (Islamic Republic of),0
2024,American Samoa*,1
2024,Australia*,1
2024,Bahrain,1
2024,Bangladesh,1
2024,Bhutan,1
2024,Brunei Darussalam,1
2024,Cook Islands*,1
2024,Fiji,1
2024,India,1
2024,Indonesia,1
2024,Kiribati,1
2024,Kuwait,1
2024,Malaysia,1
2024,Maldives,1
2024,Myanmar,1
2024,Nauru,1
2024,Nepal,1
2024,New Zealand*,1
2024,Niue*,1
2024,Oman,1
2024,Pakistan,1
2024,Papua New Guinea,1
2024,Qatar,1
2024,Samoa,1
2024,Saudi Arabia,1
2024,Solomon Islands,1
2024,Sri Lanka,1
2024,Thailand,1
2024,Timor-Leste,1
2024,Tokelau*,1
2024,Tonga,1
2024,Tuvalu,1
2024,United Arab Emirates,1
2024,Vanuatu,1
2024,Yemen,1
2024,Albania,2
2024,Andorra,2
2024,Angola,2
2024,Armenia,2
2024,Aruba*,2
2024,Austria,2
2024,Azerbaijan,2
2024,Belarus,2
2024,Bermuda*,2
2024,"Bonaire, Sint Eustatius and Saba*",2
2024,Bosnia and Herzegovina,2
2024,Bulgaria,2
2024,Channel Islands*,2
2024,Croatia,2
2024,Cyprus,2
2024,Czechia,2
2024,Denmark*,2
2024,Equatorial Guinea,2
2024,Estonia,2
2024,Falkland Islands (Malvinas)*,2
2024,Faroe Islands*,2
2024,Finland*,2
2024,Gambia,2
2024,Georgia,2
2024,Germany,2
2024,Gibraltar*,2
2024,Greece,2
2024,Greenland*,2
2024,Holy See*,2
2024,Hungary,2
2024,Iceland,2
2024,Ireland,2
2024,Isle of Man*,2
2024,Italy,2
2024,Kazakhstan,2
2024,Kyrgyzstan,2
2024,Latvia,2
2024,Liechtenstein,2
2024,Lithuania,2
2024,Malta,2
2024,Micronesia (Fed. States of),2
2024,Mongolia,2
2024,Montenegro,2
2024,Namibia,2
2024,Netherlands*,2
2024,North Macedonia,2
2024,Norway*,2
2024,Others,2
2024,Poland,2
2024,Republic of Moldova*,2
2024,Romania,2
2024,Russian Federation,2
2024,Saint Helena,2
2024,San Marino,2
2024,Serbia*,2
2024,Singapore,2
2024,Slovakia,2
2024,Slovenia,2
2024,Spain*,2
2024,Suriname,2
2024,Switzerland,2
2024,Tajikistan,2
2024,Turkmenistan,2
2024,Ukraine*,2
2024,United Kingdom*,2
2024,Uzbekistan,2
2024,Algeria,3
2024,Belgium,3
2024,Burkina Faso,3
2024,Cabo Verde,3
2024,Comoros,3
2024,Côte d'Ivoire,3
2024,France*,3
2024,French Guiana*,3
2024,French Polynesia*,3
2024,Guadeloupe*,3
2024,Guinea,3
2024,Guinea-Bissau,3
2024,Israel,3
2024,Liberia,3
2024,Luxembourg,3
2024,Madagascar,3
2024,Mali,3
2024,Martinique*,3
2024,Mauritania,3
2024,Mauritius,3
2024,Mayotte,3
2024,Monaco,3
2024,Morocco,3
2024,New Caledonia*,3
2024,Portugal,3
2024,Réunion,3
2024,Saint Pierre and Miquelon*,3
2024,Sao Tome and Principe,3
2024,Senegal,3
2024,Sierra Leone,3
2024,Tunisia,3
2024,Wallis and Futuna Islands*,3
2024,Western Sahara,3
2024,Argentina,4
2024,Bolivia (Plurinational State of),4
2024,Brazil,4
2024,Chile,4
2024,Colombia,4
2024,Costa Rica,4
2024,Ecuador,4
2024,Nicaragua,4
2024,Paraguay,4
2024,Peru,4
2024,Uruguay,4
2024,Venezuela (Bolivarian Republic of),4
2024,Anguilla*,5
2024,Antigua and Barbuda,5
2024,Bahamas,5
2024,Barbados,5
2024,Belize,5
2024,Benin,5
2024,British Virgin Islands*,5
2024,Cambodia,5
2024,Canada,5
2024,Cayman Islands*,5
2024,China,5
2024,"China, Hong Kong SAR",5
2024,"China, Macao SAR",5
2024,"China, Taiwan Province of China",5
2024,Cuba,5
2024,Curaçao*,5
2024,Dem. People's Republic of Korea,5
2024,Dominica,5
2024,Dominican Republic,5
2024,El Salvador,5
2024,Ghana,5
2024,Grenada,5
2024,Guam*,5
2024,Guatemala,5
2024,Guyana,5
2024,Haiti,5
2024,Honduras,5
2024,Jamaica,5
2024,Japan,5
2024,Lao People's Democratic Republic,5
2024,Marshall Islands,5
2024,Mexico,5
2024,Montserrat*,5
2024,Niger,5
2024,Nigeria,5
2024,Northern Mariana Islands*,5
2024,Palau,5
2024,Panama,5
2024,Philippines,5
2024,Puerto Rico*,5
2024,Republic of Korea,5
2024,Saint Kitts and Nevis,5
2024,Saint Lucia,5
2024,Saint Vincent and the Grenadines,5
2024,Sint Maarten (Dutch part)*,5
2024,Togo,5
2024,Trinidad and Tobago,5
2024,Turks and Caicos Islands*,5
2024,United States Virgin Islands*,5
2024,United States of America*,5
2024,Viet Nam,5
2024,Botswana,6
2024,Burundi,6
2024,Cameroon,6
2024,Central African Republic,6
2024,Chad,6
2024,Congo,6
2024,Democratic Republic of the Congo,6
2024,Djibouti,6
2024,Egypt,6
2024,Eswatini,6
2024,Ethiopia,6
2024,Gabon,6
2024,Kenya,6
2024,Lesotho,6
2024,Malawi,6
2024,Mozambique,6
2024,Rwanda,6
2024,Seychelles,6
2024,Somalia,6
2024,South Africa,6
2024,South Sudan,6
2024,Sudan,6
2024,Uganda,6
2024,United Republic of Tanzania,6
2024,Zambia,6
2024,Zimbabwe,6
2024,Eritrea,7
2024,Iraq,7
2024,Jordan,7
2024,Lebanon,7
2024,Libya,7
2024,State of Palestine,7
2024,Sweden,7
2024,Syrian Arab Republic,7
2024,Türkiye,7
