year,country,community
2015,Afghanistan,0
2015,Iran (Islamic Republic of),0
2015,American Samoa*,1
2015,Angola,1
2015,Australia*,1
2015,Austria,1
2015,Bhutan,1
2015,"Bonaire, Sint Eustatius and Saba*",1
2015,Bosnia and Herzegovina,1
2015,Botswana,1
2015,Channel Islands*,1
2015,Cook Islands*,1
2015,Croatia,1
2015,Czechia,1
2015,Denmark*,1
2015,Equatorial Guinea,1
2015,Eritrea,1
2015,Eswatini,1
2015,Falkland Islands (Malvinas)*,1
2015,Faroe Islands*,1
2015,Fiji,1
2015,Finland*,1
2015,Germany,1
2015,Gibraltar*,1
2015,Greenland*,1
2015,Holy See*,1
2015,Iceland,1
2015,Ireland,1
2015,Isle of Man*,1
2015,Israel,1
2015,Kiribati,1
2015,Lesotho,1
2015,Liechtenstein,1
2015,Malawi,1
2015,Malta,1
2015,Micronesia (Fed. States of),1
2015,Montenegro,1
2015,Mozambique,1
2015,Namibia,1
2015,Nauru,1
2015,Netherlands*,1
2015,New Zealand*,1
2015,Niue*,1
2015,North Macedonia,1
2015,Norway*,1
2015,Others,1
2015,Papua New Guinea,1
2015,Poland,1
2015,Saint Helena,1
2015,Samoa,1
2015,Serbia*,1
2015,Seychelles,1
2015,Singapore,1
2015,Slovakia,1
2015,Slovenia,1
2015,Solomon Islands,1
2015,South Africa,1
2015,Suriname,1
2015,Sweden,1
2015,Switzerland,1
2015,Tokelau*,1
2015,Tonga,1
2015,Tuvalu,1
2015,United Kingdom*,1
2015,Zambia,1
2015,Zimbabwe,1
2015,Albania,2
2015,Algeria,2
2015,Andorra,2
2015,Argentina,2
2015,Belgium,2
2015,Bolivia (Plurinational State of),2
2015,Brazil,2
2015,Bulgaria,2
2015,Cabo Verde,2
2015,Comoros,2
2015,Cyprus,2
2015,France*,2
2015,French Guiana*,2
2015,French Polynesia*,2
2015,Gambia,2
2015,Greece,2
2015,Guadeloupe*,2
2015,Guinea-Bissau,2
2015,Hungary,2
2015,Italy,2
2015,Luxembourg,2
2015,Madagascar,2
2015,Martinique*,2
2015,Mauritania,2
2015,Mauritius,2
2015,Mayotte,2
2015,Monaco,2
2015,Morocco,2
2015,New Caledonia*,2
2015,Paraguay,2
2015,Portugal,2
2015,Romania,2
2015,Réunion,2
2015,Saint Pierre and Miquelon*,2
2015,San Marino,2
2015,Sao Tome and Principe,2
2015,Senegal,2
2015,Spain*,2
2015,Tunisia,2
2015,Uruguay,2
2015,Vanuatu,2
2015,Wallis and Futuna Islands*,2
2015,Western Sahara,2
2015,Armenia,3
2015,Azerbaijan,3
2015,Belarus,3
2015,Estonia,3
2015,Georgia,3
2015,Kazakhstan,3
2015,Kyrgyzstan,3
2015,Latvia,3
2015,Lithuania,3
2015,Mongolia,3
2015,Republic of Moldova*,3
2015,Russian Federation,3
2015,Tajikistan,3
2015,Turkmenistan,3
2015,Ukraine*,3
2015,Uzbekistan,3
2015,Iraq,4
2015,Jordan,4
2015,Lebanon,4
2015,Libya,4
2015,State of Palestine,4
2015,Syrian Arab Republic,4
2015,Türkiye,4
2015,Benin,5
2015,Burkina Faso,5
2015,Burundi,5
2015,Cameroon,5
2015,Central African Republic,5
2015,Congo,5
2015,Côte d'Ivoire,5
2015,Democratic Republic of the Congo,5
2015,Gabon,5
2015,Ghana,5
2015,Guinea,5
2015,Liberia,5
2015,Mali,5
2015,Niger,5
2015,Nigeria,5
2015,Rwanda,5
2015,Sierra Leone,5
2015,Togo,5
2015,United Republic of Tanzania,5
2015,Myanmar,6
2015,Thailand,6
2015,Anguilla*,7
2015,Antigua and Barbuda,7
2015,Aruba*,7
2015,Bahamas,7
2015,Barbados,7
2015,Belize,7
2015,Bermuda*,7
2015,British Virgin Islands*,7
2015,Cambodia,7
2015,Canada,7
2015,Cayman Islands*,7
2015,Chile,7
2015,China,7
2015,"China, Hong Kong SAR",7
2015,"China, Macao SAR",7
2015,"China, Taiwan Province of China",7
2015,Colombia,7
2015,Cuba,7
2015,Curaçao*,7
2015,Dem. People's Republic of Korea,7
2015,Dominica,7
2015,Dominican Republic,7
2015,Ecuador,7
2015,El Salvador,7
2015,Grenada,7
2015,Guam*,7
2015,Guatemala,7
2015,Guyana,7
2015,Haiti,7
2015,Honduras,7
2015,Jamaica,7
2015,Japan,7
2015,Lao People's Democratic Republic,7
2015,Marshall Islands,7
2015,Mexico,7
2015,Montserrat*,7
2015,Northern Mariana Islands*,7
2015,Palau,7
2015,Panama,7
2015,Peru,7
2015,Philippines,7
2015,Puerto Rico*,7
2015,Republic of Korea,7
2015,Saint Kitts and Nevis,7
2015,Saint Lucia,7
2015,Saint Vincent and the Grenadines,7
2015,Sint Maarten (Dutch part)*,7
2015,Trinidad and Tobago,7
2015,Turks and Caicos Islands*,7
2015,United States Virgin Islands*,7
2015,United States of America*,7
2015,Venezuela (Bolivarian Republic of),7
2015,Viet Nam,7
2015,Costa Rica,8
2015,Nicaragua,8
2015,Bahrain,9
2015,Bangladesh,9
2015,Brunei Darussalam,9
2015,Chad,9
2015,Djibouti,9
2015,Egypt,9
2015,Ethiopia,9
2015,India,9
2015,Indonesia,9
2015,Kenya,9
2015,Kuwait,9
2015,Malaysia,9
2015,Maldives,9
2015,Nepal,9
2015,Oman,9
2015,Pakistan,9
2015,Qatar,9
2015,Saudi Arabia,9
2015,Somalia,9
2015,South Sudan,9
2015,Sri Lanka,9
2015,Sudan,9
2015,Timor-Leste,9
2015,Uganda,9
2015,United Arab Emirates,9
2015,Yemen,9
